"12, sept. 2010","2010-09-12"
"DZOME 14 1992","1992-12-14"
"8 ИЮН 1999","1999-06-08"
"11.03.00","2000-03-11"
"16 junija 1979","1979-06-16"
"de febreru 1, 1988","1988-02-01"
"19.06.91","1991-06-19"
"12 zanwuye 1981","1981-01-12"
"30 Herbštmánet, 2015","2015-09-30"
"8 7月 1996","1996-07-08"
"27 Jun. 2017","2017-06-27"
"02 mar. 1998","1998-03-02"
"21 marzo, 1973","1973-03-21"
"13 JAN. 2007","2007-01-13"
"19 ta’ Lulju 1989","1989-07-19"
"1971年5月18日","1971-05-18"
"sueŋ 12, 2005","2005-06-12"
"31 iulie 1988","1988-07-31"
"30/3/2017","2017-03-30"
"dimans 3 mars 1985","1985-03-03"
"5 ⵛⵓⵜ 1987","1987-09-05"
"17 От ыйын 2005","2005-07-17"
"04 جنوري 2010","2010-01-04"
"pjatk, 27. oktobra 1972","1972-10-27"
"2 janv. 1990","1990-01-02"
"2006 M. RUGPJŪČIO 9 D.","2006-08-09"
"MONDAY, 22 MARCH 1976","1976-03-22"
"16 Bisha Lixaad, 1990","1990-06-16"
"24, мам. 1988","1988-05-24"
"NOVEMBER 18, 2005","2005-11-18"
"25 novembre 1975","1975-11-25"
"21 MAY, 1999","1999-05-21"
"6 Auguscht, 2000","2000-08-06"
"2000. október 11., szerda","2000-10-11"
"июля 12 2006","2006-07-12"
"28/07/1970","1970-07-28"
"9 fevereiro 1987","1987-02-09"
"26 sept. 1996","1996-09-26"
"28/6/2002","2002-06-28"
"2013年12月28日 星期六","2013-12-28"
"15 BISHA AFRAAD 2010","2010-04-15"
"14 february 1983","1983-02-14"
"10.04.80","1980-04-10"
"الجمعة، 9 مايو 1986","1986-05-09"
"6 jun. 2011","2011-06-06"
"10, MRT. 1997","1997-03-10"
"13 јули 1974","1974-07-13"
"29 MEE 2013","2013-05-29"
"12 ИЮЛЬ 1988","1988-07-12"
"October 10, 1990","1990-10-10"
"30 апрель 1994","1994-04-30"
"Aprily 7, 1982","1982-04-07"
"16.5.76","1976-05-16"
"20 Mwedi wa Tatu 1978","1978-03-20"
"October 13 1971","1971-10-13"
"aprel 5 1994","1994-04-05"
"17 SET. 1980","1980-09-17"
"30 יולי 1986","1986-07-30"
"18‏/08‏/1974","1974-08-18"
"2 now. 1974","1974-11-02"
"08 sep. 1988","1988-09-08"
"6/7/1988","1988-07-06"
"06 مايو 2004","2004-05-06"
"26, Jun 1983","1983-06-26"
"05 ਜੁਲਾ 1993","1993-07-05"
"06.03.13","2013-03-06"
"woensdag 21 oktober 2015","2015-10-21"
"15.05.04","2004-05-15"
"16 juillet 1976","1976-07-16"
"19 AVR. 1998","1998-04-19"
"14.07.18","2018-07-14"
"12 September 2012","2012-09-12"
"17 nov, 1976","1976-11-17"
"10 KORNYOOT, 1984","1984-06-10"
"13 02 98","1998-02-13"
"14 ꖱꕞ 2007","2007-07-14"
"10 sep. 2006","2006-09-10"
"31 octobre 1999","1999-10-31"
"WEDNESDAY, 30 JUNE 1976","1976-06-30"
"1984 مارچ 20","1984-03-20"
"7 نومبر 2012","2012-11-07"
"27, urt. 2011","2011-01-27"
"16 noviembre, 1993","1993-11-16"
"8 tammikuuta 1982","1982-01-08"
"02, de març 1997","1997-03-02"
"1981, Алтынньы 31","1981-10-31"
"29 Mpal, 1986","1986-12-29"
"12.02.81","1981-02-12"
"24 settembre, 1981","1981-09-24"
"17 mars 2006","2006-03-17"
"3 АПРЕЛЯ 1982","1982-04-03"
"DÉCEMBRE 22, 2003","2003-12-22"
"05, MAI 2012","2012-05-05"
"7 outubro, 2007","2007-10-07"
"29, Sid 2012","2012-08-29"
"15 april 1988","1988-04-15"
"05.06.14","2014-06-05"
"10 ਮਈ 1980","1980-05-10"
"20 02 93","1993-02-20"
"12 Mweri wa kanana, 2007","2007-08-12"
"31 أغسطس 1998","1998-08-31"
"9 agosto 2001","2001-08-09"
"26 November 1980","1980-11-26"
"7 Okwakashatu 2010","2010-03-07"
"December 15, 1978","1978-12-15"
